comune,provincia,provincia_nome,contesto_id,contesto_nome,superficie_ettari
Spinoso,PZ,Potenza,5,Marsicovetere,38.18
Stigliano,MT,Matera,12,Stigliano,211.15
Teana,PZ,Potenza,7,Senise,19.3
Terranova di Pollino,PZ,Potenza,7,Senise,113.07
Tito,PZ,Potenza,4,Tito,71.27
Tolve,PZ,Potenza,3,Potenza,128.69
Tramutola,PZ,Potenza,5,Marsicovetere,36.65
Trecchina,PZ,Potenza,8,Lauria,38.19
Tricarico,MT,Matera,10,Grassano,178.16
Trivigno,PZ,Potenza,3,Potenza,26
Tursi,MT,Matera,14,Policoro,159.93
Vaglio Basilicata,PZ,Potenza,3,Potenza,43.36
Valsinni,MT,Matera,14,Policoro,32.22
Venosa,PZ,Potenza,1,Melfi,170.39
Vietri di Potenza,PZ,Potenza,4,Tito,52.25
Viggianello,PZ,Potenza,8,Lauria,120.83
Viggiano,PZ,Potenza,5,Marsicovetere,89.7
